City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,tilichiki,90,RU,1561498716,84,60.47,166.1,51.91,3.89
87,mar del plata,61,AR,1561498707,52,-46.43,-67.52,41.11,14.83
88,ipixuna,75,BR,1561498794,83,-1.76,-48.8,80.6,10.29
89,dikson,2,RU,1561498578,86,73.51,80.55,32.47,14.56
90,geraldton,90,CA,1561498737,93,49.72,-86.95,60.8,9.17
91,saint-pierre,0,FR,1561498732,65,48.95,4.24,77.0,1.12
92,katsuura,75,JP,1561498744,83,33.93,134.5,71.6,11.41
93,mokhsogollokh,0,RU,1561498795,92,61.4,128.95,52.09,4.99
94,moose factory,90,CA,1561498795,88,51.26,-80.61,68.0,11.41
95,coronel fabriciano,0,BR,1561498796,83,-19.52,-42.63,71.6,4.7
96,mamallapuram,75,IN,1561498796,74,12.63,80.17,86.0,6.93
97,yumen,100,CN,1561498796,36,40.29,97.04,68.11,1.72
98,arraial do cabo,0,BR,1561498560,88,-22.97,-42.02,75.2,11.41
99,usinsk,100,RU,1561498796,74,66.0,57.56,44.53,12.03
100,esperance,20,TT,1561498702,62,10.24,-61.45,86.0,12.75
101,zasheyek,0,RU,1561498796,80,67.41,32.55,47.77,1.34
102,itaituba,20,BR,1561498796,58,-4.26,-55.99,87.8,0.96
103,nikolskoye,0,RU,1561498688,58,59.7,30.79,62.01,4.47
104,riyadh,0,SA,1561498607,9,24.63,46.72,93.2,3.36
105,kuryk,0,KZ,1561498797,47,43.18,51.68,79.27,3.44
106,pisco,0,PE,1561498710,30,-13.71,-76.2,71.6,11.41
107,saint-philippe,75,CA,1561498566,88,45.36,-73.48,79.0,5.82
108,najran,0,SA,1561498797,20,17.54,44.22,87.8,4.7
109,praia da vitoria,75,PT,1561498797,77,38.73,-27.07,66.2,15.41
110,san patricio,100,PY,1561498748,92,-26.98,-56.83,50.11,12.48
111,beloha,0,MG,1561498797,89,-25.17,45.06,62.17,4.61
112,alta floresta,0,BR,1561498713,45,-9.87,-56.08,87.8,1.81
113,kedougou,0,SN,1561498726,49,12.56,-12.19,91.4,6.93
114,namatanai,100,PG,1561498798,82,-3.66,152.44,79.63,8.72
115,sitka,0,US,1561498741,53,37.17,-99.65,89.01,11.99
116,constitucion,75,MX,1561498694,16,23.99,-104.67,84.2,6.93
117,tasiilaq,20,GL,1561498691,81,65.61,-37.64,42.8,9.17
118,guymon,1,US,1561498793,41,36.68,-101.48,93.2,17.22
119,hirara,6,JP,1561498798,78,24.8,125.28,81.79,8.68
120,chuy,100,UY,1561498710,60,-33.69,-53.46,48.49,17.43
121,east london,100,ZA,1561498798,91,-33.02,27.91,55.51,8.84
122,guerrero negro,23,MX,1561498465,80,27.97,-114.04,63.97,10.87
123,rundu,0,NA,1561498799,41,-17.91,19.77,57.2,2.24
124,isangel,75,VU,1561498799,83,-19.55,169.27,77.0,4.7
125,isiro,100,CD,1561498799,99,2.77,27.62,66.49,0.98
126,teguldet,98,RU,1561498799,93,57.31,88.17,54.07,2.55
127,chinsali,6,ZM,1561498799,53,-10.55,32.07,58.93,8.14
128,pandan,100,PH,1561498800,76,11.72,122.09,82.69,12.35
129,paez,75,CO,1561498800,54,2.93,-76.46,84.2,8.05
130,road town,40,VG,1561498754,74,18.42,-64.62,84.2,9.17
131,aquin,33,HT,1561498800,61,18.28,-73.39,89.01,5.53
132,roald,75,NO,1561498800,87,62.58,6.12,57.2,11.41
133,maragogi,99,BR,1561498760,89,-9.01,-35.22,71.17,3.58
134,the pas,20,CA,1561498800,52,53.82,-101.24,68.0,11.41
135,ixtapa,20,MX,1561498801,38,20.71,-105.21,91.4,14.99
136,ulladulla,40,AU,1561498801,100,-35.36,150.48,48.2,9.17
137,maningrida,68,AU,1561498801,67,-12.05,134.23,54.61,9.51
138,pacific grove,20,US,1561498469,59,36.62,-121.92,88.0,10.29
139,buriti alegre,60,BR,1561498634,49,-18.14,-49.04,75.49,5.64
140,killybegs,0,IE,1561498801,87,54.63,-8.45,60.8,9.17
141,awjilah,0,LY,1561498801,23,29.14,21.3,87.01,10.92
142,torbay,40,CA,1561498638,71,47.66,-52.73,62.01,3.36
143,engen,0,DE,1561498802,83,47.85,8.77,73.99,2.24
144,husavik,7,CA,1561498802,37,50.56,-96.99,77.0,14.12
145,thompson,90,CA,1561498712,82,55.74,-97.86,60.8,9.17
146,mercedes,18,UY,1561498802,57,-33.25,-58.03,48.0,4.0
147,deep river,90,CA,1561498803,56,46.1,-77.49,73.4,13.87
148,ponta do sol,100,BR,1561498691,64,-20.63,-46.0,68.65,4.65
149,meulaboh,100,ID,1561498763,66,4.14,96.13,83.41,8.34
150,jizan,40,SA,1561498803,50,16.89,42.56,95.0,5.82
151,henties bay,60,NA,1561498760,91,-22.12,14.28,52.0,6.11
152,faanui,87,PF,1561498743,75,-16.48,-151.75,79.27,14.5
153,codrington,40,AU,1561498804,93,-28.95,153.24,55.4,5.68
154,santa cruz de tenerife,75,ES,1561498555,83,28.47,-16.25,73.4,5.82
155,kalmunai,100,LK,1561498715,76,7.42,81.82,78.01,1.41
156,marsa matruh,20,EG,1561498729,88,31.35,27.25,77.0,1.57
157,lagoa,20,PT,1561498709,94,37.14,-8.45,69.01,9.17
158,el coco,100,CO,1561498804,98,3.91,-67.9,73.33,3.67
159,lebu,75,ET,1561498725,63,8.96,38.73,62.6,3.74
